9664 0
8 -6144
1.17969 -0.00257874
7.9375 -2048
1.16406 0.283203
8.375 -1232
1.07031 -0.151367
8 -876
1.125 0.145508
8.3125 -684
1.16406 -0.12793
8.1875 -560
1.26562 -0.129883
8.1875 -472
1.05469 -0.0927734
8.375 -410
1 -0.498047
7.96875 -362
1.14062 -0.332031
7.8125 -324
1.125 -0.0126343
8.125 -292
1.0625 -0.186523
7.875 -266
1.03125 0.285156
8.5 -246
0.84375 -0.271484
8.3125 -227
1.41406 -0.365234
8.1875 -211
1.27344 -0.373047
8.125 -198
1.21094 -0.292969
8.1875 -186
1.71094 -0.314453
8.25 -175
1.60156 -0.435547
8.125 -166
1.10938 -0.427734
8.0625 -157
1.39844 -0.382812
8.0625 -150
1.41406 -0.357422
8.125 -143
1.24219 -0.46875
7.84375 -136
1.375 -0.0820312
8.1875 -130
1.46875 -0.211914
8.3125 -125.5
1.14062 -0.392578
8.1875 -120.5
1.10938 -0.314453
8.3125 -115.5
1.25 -0.386719
8.3125 -111.5
1.19531 -0.458984
8.375 -107.5
1.33594 -0.777344
7.84375 -104
1.11719 -0.139648
8.4375 -100.5
1.03906 -0.609375
8.1875 -97
1.41406 -0.400391
8.4375 -94
1.53906 -0.648438
8.3125 -91.5
1.00781 -0.769531
8.0625 -88.5
1.33594 -0.5625
8.0625 -86
1.25 -0.439453
8.0625 -83.5
1.375 -0.214844
8.375 -81.5
1.0625 -0.216797
8.6875 -79
1.28906 -0.613281
8.6875 -77
1.25 -0.992188
8.125 -75
1.375 -0.558594
8.3125 -73.5
1.16406 -0.554688
8.4375 -71.5
1.39844 -0.617188
8.5 -70
1.41406 -0.746094
8.375 -68.5
1.15625 -0.601562
8.4375 -66.5
1.57812 -0.5625
8.5625 -65.5
0.992188 -0.710938
8.5625 -63.75
1.19531 -0.730469
8.4375 -62.5
1.35156 -0.554688
8.625 -61.25
1.42969 -0.613281
8.6875 -60.25
1.1875 -0.617188
8.8125 -58.75
1.40625 -0.730469
8.875 -57.5
1.45312 -0.855469
8.9375 -56.5
1.23438 -1.00781
8.6875 -55.25
1.53906 -0.808594
8.875 -54.5
1.47656 -0.8125
9 -53.25
1.57812 -0.894531
9.125 -52.5
1.50781 -1.16406
8.9375 -51.75
1.25781 -1.10156
8.875 -50.25
1.61719 -0.945312
9.0625 -49.75
1.46094 -0.972656
9.25 -48.75
1.69531 -1.29688
9 -48.25
1.48438 -1.16406
8.9375 -47.25
1.32031 -0.882812
9.3125 -46
1.83594 -1.16406
9.1875 -45.75
1.66406 -0.90625
9.625 -45
1.78125 -1.32031
9.4375 -44.5
1.47656 -1.30469
9.375 -43.5
1.73438 -1.15625
9.6875 -42.75
1.92188 -1.35156
9.6875 -42.5
1.57031 -1.50781
9.5625 -41.5
1.72656 -1.24219
10 -40.75
2 -1.71094
9.75 -40.75
1.42969 -1.61719
9.75 -39.5
1.74219 -1.57031
9.75 -39
1.89844 -1.42188
9.9375 -38.5
1.63281 -1.30469
10.375 -37.75
2.01562 -1.60156
10.4375 -37.25
2.10938 -1.70312
10.4375 -37
1.90625 -1.5625
10.875 -36.25
1.9375 -1.875
11 -35.75
1.91406 -2.15625
11 -35.25
1.97656 -2.48438
10.625 -34.5
2.125 -2.03125
11.0625 -34.25
2.1875 -2.21875
11.25 -33.75
2.3125 -2.39062
11.3125 -33.5
1.99219 -2.40625
11.5 -32.5
2.25 -2.5
11.5 -32
2.45312 -2.14062
12.375 -31.75
2.39062 -2.92188
12.125 -31.375
2.28125 -2.79688
12.5 -30.625
2.51562 -2.95312
12.6875 -30.25
2.46875 -3.07812
12.9375 -29.5
2.76562 -3.01562
13.5 -29.25
2.76562 -3.3125
13.9375 -28.875
2.5625 -3.65625
14.1875 -28
2.92188 -3.8125
14.75 -27.5
2.96875 -4.25
15 -26.875
3.125 -4.4375
15.5 -26.375
3.1875 -4.75
15.75 -25.625
3.45312 -4.4375
17.125 -24.875
3.875 -5.1875
17.875 -24.375
4.09375 -5.59375
19.125 -23.75
4.125 -6.53125
19.75 -22.75
4.4375 -6.625
21.625 -21.625
5.125 -7.71875
23.25 -21
5.0625 -8.75
25.25 -19.125
5.9375 -9.6875
28.25 -17.5
6.6875 -11.4375
32.25 -15.25
8 -13.8125
37.75 -12.5
9.5625 -17.375
46 -8
12.4375 -22.375
61.25 -0.800781
17.25 -33.25
94 15.8125
31.25 -61.75
230 82.5
239 -488
-400 -225
-38.75 82.5
-100.5 -78.5
-17.5 38
-54.75 -55.75
-10.5625 24.375
-36.75 -47.25
-8.0625 18.375
-26.625 -41.5
-6.0625 14.375
-20.375 -38
-4.40625 11.6875
-16.5 -36
-3.5625 10.25
-13.1875 -34.5
-2.95312 8.875
-10.8125 -33.25
-2.5625 7.875
-8.8125 -31.875
-2 6.875
-7.34375 -31
-1.73438 5.96875
-6.46875 -30.25
-1.38281 5.59375
-5.5 -29.625
-1.39844 5.40625
-4.40625 -28.625
